STATE,REGION,ACS_PCT_CTZ_US_BORN_ZC,ACS_PCT_FOREIGN_BORN_ZC,new_zipcode
Massachusetts,Northeast,69.2,30.8,02137
Massachusetts,Northeast,69.2,30.8,02136
Massachusetts,Northeast,72.15,27.85,02238
Massachusetts,Northeast,72.15,27.85,02138
Massachusetts,Northeast,68.75,31.25,02139
Massachusetts,Northeast,65.89,34.11,02140
Massachusetts,Northeast,67.39,32.61,02141
Massachusetts,Northeast,53.93,46.07,02142
Massachusetts,Northeast,74.01,25.99,02143
Massachusetts,Northeast,84.59,15.41,02144
Massachusetts,Northeast,66.32,33.68,02145
Massachusetts,Northeast,55.78,44.22,02148
Massachusetts,Northeast,55.21,44.79,02149
Massachusetts,Northeast,51.89,48.11,02204
Massachusetts,Northeast,51.89,48.11,02150
Massachusetts,Northeast,51.89,48.11,02206
Massachusetts,Northeast,58.78,41.22,02151
Massachusetts,Northeast,83.65,16.35,02152
Massachusetts,Northeast,76.97,23.03,02155
Massachusetts,Northeast,76.97,23.03,02156
Massachusetts,Northeast,76.97,23.03,02153
Massachusetts,Northeast,58.81,41.19,02163
Massachusetts,Northeast,68.14,31.86,02269
Massachusetts,Northeast,68.14,31.86,02169
Massachusetts,Northeast,62.61,37.39,02170
Massachusetts,Northeast,62.28,37.72,02171
Massachusetts,Northeast,85.42,14.58,02176
Massachusetts,Northeast,86.15,13.85,02180
Massachusetts,Northeast,79.48,20.52,02185
Massachusetts,Northeast,79.48,20.52,02184
Massachusetts,Northeast,82.39,17.61,02187
Massachusetts,Northeast,82.39,17.61,02186
Massachusetts,Northeast,83.82,16.18,02188
Massachusetts,Northeast,87.75,12.25,02189
Massachusetts,Northeast,85.04,14.96,02190
Massachusetts,Northeast,88.38,11.62,02191
Massachusetts,Northeast,65.92,34.08,02199
Massachusetts,Northeast,100.0,0.0,02203
Massachusetts,Northeast,100.0,0.0,02201
Massachusetts,Northeast,77.81,22.19,02210
Massachusetts,Northeast,72.19,27.81,02215
Massachusetts,Northeast,61.83,38.17,02304
Massachusetts,Northeast,61.83,38.17,02301
Massachusetts,Northeast,61.83,38.17,02305
Massachusetts,Northeast,72.23,27.77,02302
Massachusetts,Northeast,72.23,27.77,02303
Massachusetts,Northeast,87.06,12.94,02322
Massachusetts,Northeast,93.39,6.61,02324
Massachusetts,Northeast,93.39,6.61,02325
Massachusetts,Northeast,95.97,4.03,02366
Massachusetts,Northeast,95.97,4.03,02355
Massachusetts,Northeast,95.97,4.03,02330
Massachusetts,Northeast,95.68,4.32,02331
Massachusetts,Northeast,95.68,4.32,02332
Massachusetts,Northeast,95.0,5.0,02337
Massachusetts,Northeast,95.0,5.0,02333
Massachusetts,Northeast,98.3,1.7,02338
Massachusetts,Northeast,96.85,3.15,02339
Massachusetts,Northeast,93.05,6.95,02350
Massachusetts,Northeast,93.05,6.95,02341
Massachusetts,Northeast,88.85,11.15,02343
Massachusetts,Northeast,95.35,4.65,02346
Massachusetts,Northeast,95.35,4.65,02344
Massachusetts,Northeast,96.05,3.95,02349
Massachusetts,Northeast,96.05,3.95,02348
Massachusetts,Northeast,96.05,3.95,02347
Massachusetts,Northeast,90.6,9.4,02351
